代码,名称,最新价,IOPV实时估值,基金折价率,涨跌额,涨跌幅,成交量,成交额,开盘价,最高价,最低价,昨收,振幅,换手率,量比,委比,外盘,内盘,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,现手,买一,卖一,最新份额,流通市值,总市值,数据日期,更新时间
513310,中韩半导体ETF华泰柏瑞,6.134,4.7185,-30.0,0.536,9.57,33477768.0,19644050957.0,5.821,6.139,5.619,5.598,9.29,152.21,1.62,32.6,16366306.0,17111462.0,82449216.0,0.42,68856640.0,0.35,13592576.0,0.07,-84367616.0,-0.43,1918336.0,0.01,-2660.0,6.134,6.135,2199427008.0,13491285267,13491285267,2026-05-13,2026-05-13 16:11:53+08:00
560660,云计算50ETF新华,1.277,1.27,-0.55,0.062,5.1,172666.0,21612475.0,1.206,1.286,1.205,1.215,6.67,13.6,1.73,87.31,93861.0,78805.0,-1126415.0,-5.21,-719031.0,-3.33,-407384.0,-1.88,815392.0,3.77,311023.0,1.44,-190.0,1.283,1.285,126938000.0,162099826,162099826,2026-05-13,2026-05-13 16:11:41+08:00
560710,船舶ETF富国,1.124,1.1185,-0.49,0.054,5.05,2445629.0,271327457.0,1.071,1.125,1.071,1.07,5.05,20.15,3.18,-6.6,1763134.0,682495.0,21646486.0,7.98,4252550.0,1.57,17393936.0,6.41,-4720488.0,-1.74,-16925997.0,-6.24,-11.0,1.124,1.125,1213580000.0,1364063920,1364063920,2026-05-13,2026-05-13 16:11:48+08:00
159242,创业板人工智能ETF大成,2.417,2.4147,-0.1,0.113,4.9,292793.0,68339573.606,2.26,2.418,2.26,2.304,6.86,15.23,0.98,34.64,149649.0,143144.0,-247215.0,-0.36,41050.0,0.06,-288265.0,-0.42,1616368.0,2.37,-1369153.0,-2.0,-1185.0,2.417,2.418,192278583.0,464737335,464737335,2026-05-13,2026-05-13 15:34:21+08:00
159382,创业板人工智能ETF南方,3.066,3.0615,-0.15,0.143,4.89,490573.0,146235878.3,2.893,3.066,2.86,2.923,7.05,5.74,0.84,-0.29,276141.0,214432.0,4919813.0,3.36,-3993853.0,-2.73,8913666.0,6.1,-1205538.0,-0.82,-3714275.0,-2.54,-3148.0,3.066,3.067,854055712.0,2618534813,2618534813,2026-05-13,2026-05-13 15:34:45+08:00
159246,创业板人工智能ETF富国,1.35,1.349,-0.07,0.062,4.81,2052358.0,270852882.08,1.266,1.35,1.266,1.288,6.52,7.8,1.24,69.45,1443160.0,609198.0,7745197.0,2.86,59910377.0,22.12,-52165180.0,-19.26,-3052753.0,-1.13,-4692444.0,-1.73,-9492.0,1.35,1.351,2629655600.0,3550035060,3550035060,2026-05-13,2026-05-13 15:34:09+08:00
159279,创业板人工智能ETF华安,1.628,1.628,0.0,0.074,4.76,479970.0,75548862.192,1.525,1.63,1.525,1.554,6.76,38.59,1.11,83.37,245566.0,234404.0,-267150.0,-0.35,0.0,0.0,-267150.0,-0.35,718846.0,0.95,-451696.0,-0.6,-744.0,1.628,1.629,124387534.0,202502905,202502905,2026-05-13,2026-05-13 15:34:27+08:00
159363,创业板人工智能ETF华宝,1.433,1.4334,0.03,0.065,4.75,10172887.0,1422110705.301,1.347,1.434,1.347,1.368,6.36,18.91,1.32,-4.89,5507676.0,4665211.0,21794128.0,1.53,28283264.0,1.99,-6489136.0,-0.46,-9673921.0,-0.68,-12120212.0,-0.85,42418.0,1.432,1.433,5380169984.0,7709783587,7709783587,2026-05-13,2026-05-13 15:34:15+08:00
159388,创业板人工智能ETF国泰,1.173,1.1728,-0.02,0.053,4.73,1343476.0,153163318.9,1.1,1.175,1.1,1.12,6.7,15.98,1.17,-3.03,730301.0,613175.0,3487362.0,2.28,-6140941.0,-4.01,9628303.0,6.29,-1940117.0,-1.27,-1547245.0,-1.01,4480.0,1.172,1.173,840736992.0,986184492,986184492,2026-05-13,2026-05-13 15:34:27+08:00
588710,科创半导体设备ETF华泰柏瑞,2.401,2.3948,-0.26,0.108,4.71,1308894.0,305346203.0,2.237,2.408,2.236,2.293,7.5,19.02,1.3,-23.55,695325.0,613569.0,5998795.0,1.96,-2142394.0,-0.7,8141189.0,2.67,-3571695.0,-1.17,-2427101.0,-0.79,20.0,2.4,2.401,688295008.0,1652596314,1652596314,2026-05-13,2026-05-13 16:11:35+08:00
589020,科创半导体设备ETF鹏华,1.873,1.8677,-0.28,0.084,4.7,741468.0,134989257.0,1.745,1.888,1.739,1.789,8.33,25.73,1.36,25.83,428176.0,313292.0,-8332195.0,-6.17,-5373128.0,-3.98,-2959067.0,-2.19,5038450.0,3.73,3293745.0,2.44,-397.0,1.874,1.875,288219008.0,539834202,539834202,2026-05-13,2026-05-13 16:12:02+08:00
588170,科创半导体ETF华夏,2.316,2.3132,-0.12,0.104,4.7,9277782.0,2097705797.0,2.16,2.324,2.158,2.212,7.5,22.63,1.57,12.13,4766635.0,4511147.0,103187168.0,4.92,115683024.0,5.51,-12495856.0,-0.6,14849408.0,0.71,-118036596.0,-5.63,1888.0,2.315,2.316,4099149008.0,9493629103,9493629103,2026-05-13,2026-05-13 16:11:47+08:00
159243,创业板人工智能ETF招商,1.45,1.4501,0.01,0.065,4.69,415901.0,58232042.644,1.365,1.453,1.364,1.385,6.43,26.83,0.93,-42.88,241559.0,174342.0,6742780.0,11.58,419380.0,0.72,6323400.0,10.86,-4793697.0,-8.23,-1949084.0,-3.35,770.0,1.449,1.45,155030224.0,224793825,224793825,2026-05-13,2026-05-13 15:34:06+08:00
159381,创业板人工智能ETF华夏,2.709,2.7098,0.03,0.121,4.68,1472922.0,386669318.335,2.551,2.714,2.551,2.588,6.3,16.02,0.87,0.9,808737.0,664185.0,16027165.0,4.14,-8277171.0,-2.14,24304336.0,6.29,-5780240.0,-1.49,-10246925.0,-2.65,-6537.0,2.709,2.71,919576608.0,2491133031,2491133031,2026-05-13,2026-05-13 15:34:24+08:00
159811,5GETF博时,3.227,3.2171,-0.31,0.14,4.54,73589.0,23319966.3,3.065,3.228,3.049,3.087,5.8,14.06,1.61,-39.72,44130.0,29459.0,-261797.0,-1.12,293775.0,1.26,-555572.0,-2.38,-1749529.0,-7.5,2011326.0,8.62,910.0,3.226,3.227,52343393.0,168912129,168912129,2026-05-13,2026-05-13 15:34:15+08:00
159140,科创创业人工智能ETF易方达,1.498,1.4965,-0.1,0.065,4.54,839758.0,120598932.613,1.43,1.498,1.406,1.433,6.42,20.19,1.54,-25.02,287066.0,552693.0,-475438.0,-0.39,-7989699.0,-6.63,7514261.0,6.23,910661.0,0.76,-435223.0,-0.36,2661.0,1.497,1.498,415936832.0,623073374,623073374,2026-05-13,2026-05-13 15:34:21+08:00
588410,科创创业人工智能ETF鹏华,1.438,1.437,-0.07,0.062,4.51,98589.0,13731047.0,1.347,1.439,1.347,1.376,6.69,9.37,1.09,21.54,50210.0,48379.0,938246.0,6.83,365369.0,2.66,572877.0,4.17,-216274.0,-1.58,-721972.0,-5.26,3.0,1.436,1.439,105250000.0,151349500,151349500,2026-05-13,2026-05-13 16:11:51+08:00
588420,科创创业人工智能ETF摩根,1.438,1.4385,0.03,0.061,4.43,211845.0,29638993.0,1.355,1.438,1.351,1.377,6.32,11.92,0.75,-14.73,123641.0,88204.0,2034852.0,6.87,1459304.0,4.92,575548.0,1.94,-1387704.0,-4.68,-647149.0,-2.18,-237.0,1.438,1.439,177648000.0,255457824,255457824,2026-05-13,2026-05-13 16:11:39+08:00
