字段英文名,字段中文名,ETF代码,ETF名称,分类
top_holdings,前十大持仓,159012,科创创业50ETF,行业
top_holdings,前十大持仓,513880,日经225ETF,跨境
top_holdings,前十大持仓,513520,日经ETF,跨境
top_holdings,前十大持仓,513000,日经225ETF,跨境
top_holdings,前十大持仓,159866,日经ETF,跨境
top_holdings,前十大持仓,513730,东南亚科技ETF,行业
top_holdings,前十大持仓,589280,科创增强ETF,行业
top_holdings,前十大持仓,560450,电力ETF,行业
top_holdings,前十大持仓,159687,亚太精选ETF,行业
top_holdings,前十大持仓,520580,新兴亚洲ETF,行业
top_holdings,前十大持仓,560790,N软件ETF,行业
top_holdings,前十大持仓,560870,N工业有色ETF,商品
top_holdings,前十大持仓,513800,日本东证指数ETF,行业
top_holdings,前十大持仓,520830,沙特ETF,行业
top_holdings,前十大持仓,159329,沙特ETF,行业
top_holdings,前十大持仓,159029,有色ETF,商品
top_holdings,前十大持仓,159831,金ETF,行业
top_holdings,前十大持仓,561050,稀有金属ETF,行业
top_holdings,前十大持仓,159937,黄金ETF,商品
top_holdings,前十大持仓,518660,黄金ETF,商品
top_holdings,前十大持仓,518850,黄金ETF,商品
top_holdings,前十大持仓,159834,金ETF,行业
top_holdings,前十大持仓,518680,金ETF,行业
top_holdings,前十大持仓,518600,金ETF,行业
top_holdings,前十大持仓,159980,有色ETF,商品
top_holdings,前十大持仓,159934,黄金ETF,商品
top_holdings,前十大持仓,159812,黄金ETF,商品
top_holdings,前十大持仓,518890,上海金ETF,行业
top_holdings,前十大持仓,518860,上海金ETF,行业
top_holdings,前十大持仓,159830,金ETF,行业
top_holdings,前十大持仓,511920,货币ETF,货币
top_holdings,前十大持仓,511690,交易货币ETF,货币
top_holdings,前十大持仓,159003,快线ETF,行业
top_holdings,前十大持仓,159001,货币ETF,货币
top_holdings,前十大持仓,159100,巴西ETF,行业
top_holdings,前十大持仓,511930,货币ETF,货币
top_holdings,前十大持仓,511970,货币ETF,货币
top_holdings,前十大持仓,511650,货币ETF,货币
top_holdings,前十大持仓,511800,货币ETF,货币
top_holdings,前十大持仓,511770,货币ETF,货币
top_holdings,前十大持仓,511830,货币ETF,货币
top_holdings,前十大持仓,511670,华泰天天金ETF,行业
top_holdings,前十大持仓,511660,货币ETF,货币
top_holdings,前十大持仓,511910,货币ETF,货币
top_holdings,前十大持仓,560420,食品ETF,行业
top_holdings,前十大持仓,159005,快钱ETF,行业
top_holdings,前十大持仓,511620,货币ETF,货币
top_holdings,前十大持仓,511700,货币ETF,货币
top_holdings,前十大持仓,511990,添益ETF,行业
top_holdings,前十大持仓,511960,货币ETF,货币
top_holdings,前十大持仓,511600,日日鑫ETF,行业
top_holdings,前十大持仓,511900,货币ETF,货币
top_holdings,前十大持仓,511880,日利ETF,行业
top_holdings,前十大持仓,511820,添利ETF,行业
top_holdings,前十大持仓,511810,货币ETF,货币
top_holdings,前十大持仓,511860,货币ETF,货币
top_holdings,前十大持仓,511850,财富宝ETF,行业
top_holdings,前十大持仓,511980,货币ETF,货币
top_holdings,前十大持仓,511950,添利货币ETF,货币
top_holdings,前十大持仓,520870,巴西ETF,行业
top_holdings,前十大持仓,159822,新经济ETF,行业
top_holdings,前十大持仓,560250,红利质量ETF,红利
top_holdings,前十大持仓,513130,恒生科技ETF,跨境
top_holdings,前十大持仓,513620,港股医疗ETF,行业
top_holdings,前十大持仓,512430,家居家电ETF,行业
top_holdings,前十大持仓,159015,恒生港股通科技ETF,跨境
top_holdings,前十大持仓,159985,豆粕ETF,商品
top_holdings,前十大持仓,159038,粮食ETF,行业
top_holdings,前十大持仓,560910,电池ETF,行业
top_holdings,前十大持仓,159981,能源化工ETF,商品
issuer,发行人,512190,浙商之江凤凰ETF,行业
issuer,发行人,511670,华泰天天金ETF,行业
market_cap,市值,162411,华宝油气LOF,
market_cap,市值,160416,华安石油LOF,
market_cap,市值,160323,华夏原油LOF,
market_cap,市值,512110,中证1000成长ETF,
market_cap,市值,516030,汽车零部件ETF,
market_cap,市值,512350,中证1000价值ETF,
category,分类,162411,华宝油气LOF,
category,分类,160416,华安石油LOF,
category,分类,160323,华夏原油LOF,
category,分类,511010,国债ETF,
category,分类,511260,国债ETF,
category,分类,511030,信用债ETF,
category,分类,511270,10年期国债ETF,
category,分类,511220,货币ETF,
category,分类,512110,中证1000成长ETF,
category,分类,516030,汽车零部件ETF,
category,分类,512350,中证1000价值ETF,
scale,规模,162411,华宝油气LOF,
scale,规模,160416,华安石油LOF,
